epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,327.976,1.0346,0.75619,1.18966,0.89537,0.77805,0.89711,0.68525,0.87666,0.83692,1.09918,0.0095941,0.0095941,0.0095941
43,335.596,1.02666,0.75447,1.17798,0.87822,0.90513,0.9577,0.71194,0.92084,0.57477,1.11298,0.0095842,0.0095842,0.0095842
44,343.291,1.03423,0.75518,1.18596,0.89057,0.92605,0.96926,0.72128,0.94903,0.65144,1.1393,0.0095743,0.0095743,0.0095743
45,350.939,1.00975,0.74831,1.17111,0.95357,0.95577,0.98278,0.76064,0.87303,0.49742,1.08967,0.0095644,0.0095644,0.0095644
46,358.708,1.01497,0.73897,1.18052,0.95281,0.9122,0.96431,0.74326,0.88189,0.53774,1.1146,0.0095545,0.0095545,0.0095545
47,366.333,1.02848,0.74284,1.1948,0.92516,0.93714,0.97041,0.74679,0.89493,0.52573,1.09799,0.0095446,0.0095446,0.0095446
48,373.957,1.02456,0.73217,1.19129,0.94298,0.93623,0.97935,0.75621,0.87908,0.48145,1.0937,0.0095347,0.0095347,0.0095347
49,381.599,1.02936,0.74,1.18838,0.85783,0.82892,0.90111,0.6633,0.95917,0.73259,1.1558,0.0095248,0.0095248,0.0095248
50,389.234,0.98721,0.70232,1.16715,0.87538,0.86052,0.94218,0.7166,0.86891,0.66402,1.10956,0.0095149,0.0095149,0.0095149
51,396.894,1.00593,0.73799,1.18108,0.92563,0.91178,0.96805,0.74133,0.8556,0.50026,1.08789,0.009505,0.009505,0.009505
52,404.535,1.00202,0.71952,1.17528,0.92433,0.92373,0.96431,0.72971,0.88477,0.49673,1.10509,0.0094951,0.0094951,0.0094951
53,412.175,0.99493,0.70678,1.16593,0.94173,0.9403,0.98198,0.76006,0.84946,0.46331,1.07197,0.0094852,0.0094852,0.0094852
54,419.841,0.99248,0.69411,1.16466,0.93922,0.95281,0.97641,0.75337,0.87257,0.50111,1.08423,0.0094753,0.0094753,0.0094753
55,427.515,0.99151,0.71668,1.16763,0.91094,0.91657,0.96264,0.75694,0.79717,0.53098,1.06665,0.0094654,0.0094654,0.0094654
56,435.111,0.98851,0.71614,1.17113,0.95168,0.91267,0.97377,0.76059,0.8377,0.50507,1.07053,0.0094555,0.0094555,0.0094555
57,442.777,0.98012,0.70004,1.16725,0.93603,0.94143,0.98275,0.75926,0.8531,0.48528,1.08478,0.0094456,0.0094456,0.0094456
58,450.422,0.98138,0.6876,1.16083,0.93663,0.92781,0.9732,0.75647,0.84218,0.50994,1.07851,0.0094357,0.0094357,0.0094357
59,458.018,0.98753,0.71619,1.16706,0.89702,0.90524,0.94934,0.74202,0.83909,0.54809,1.05294,0.0094258,0.0094258,0.0094258
60,465.597,0.95934,0.68472,1.15027,0.90664,0.92294,0.96342,0.74336,0.84136,0.54093,1.06148,0.0094159,0.0094159,0.0094159
61,473.167,0.96694,0.67923,1.15947,0.94569,0.95894,0.98551,0.77302,0.82781,0.46386,1.06309,0.009406,0.009406,0.009406
62,480.899,0.97632,0.67898,1.15717,0.88202,0.84974,0.90818,0.66781,0.96061,0.73886,1.15744,0.0093961,0.0093961,0.0093961
63,488.628,0.97227,0.67302,1.15184,0.94531,0.93058,0.97044,0.76258,0.83501,0.45799,1.06594,0.0093862,0.0093862,0.0093862
64,496.227,0.97384,0.68043,1.15762,0.95282,0.92916,0.96201,0.77193,0.79604,0.46267,1.05624,0.0093763,0.0093763,0.0093763
65,503.81,0.95883,0.68591,1.1502,0.9638,0.97446,0.99167,0.79279,0.79914,0.39589,1.04983,0.0093664,0.0093664,0.0093664
66,511.556,0.95627,0.67132,1.14488,0.95325,0.94391,0.97935,0.74005,0.91223,0.4826,1.10925,0.0093565,0.0093565,0.0093565
67,519.219,0.95104,0.66615,1.14286,0.94585,0.94302,0.97349,0.75906,0.851,0.44686,1.06743,0.0093466,0.0093466,0.0093466
68,526.883,0.9564,0.679,1.14296,0.96042,0.92623,0.96823,0.76231,0.80264,0.447,1.05837,0.0093367,0.0093367,0.0093367
